fid,code_giris,can_orient,city_irreg,wdt_str,alb,pop_den,veg_den,bld_hgt,no_wind_d,max_temp,max_dtemp,no_cloud,iuhi,veg_dt,veg_cost,veg_eff,alb_dt,alb_cost,alb_eff,cmb_dt,cmb_cost,cmb_eff,age_perc,pov_perc,alone_perc,dpe_perc,hvi
"849","5951212",SW,mixed,4.04,0.1372,5835.71,0.16793,5.24,0.1245,23.02,10.72,20.1373,7.29,1.57,26.75,0.0892,1.52,11.0446,0.1168,3.1,37.7946,0.0973,15.49,23.34,32.94,49.87,15
"850","5951213",SE,mixed,3.97,0.1289,9125,0.16485,5.67,0.1245,23.02,10.72,20.1373,7.74,1.57,9.271,0.4026,1.28,3.1663,0.5365,2.86,12.4373,0.4266,10.38,42.08,33.81,45.98,16
"851","5952701",SW,irregular,4.51,0.1416,3816.09,0.26436,5.17,0.1245,23.02,10.72,20.1373,6.57,1.04,39.936,0.0259,0.86,17.0314,0.028,1.91,56.9674,0.026,14.81,10.09,39.57,40.96,13
"852","5959901",SE,mixed,4.26,0.1505,3425.24,0.10146,4.74,0.1245,23.02,10.72,20.1373,6.94,1.84,24.302,0.0676,1.22,8.9225,0.0681,3.05,33.2245,0.0639,17.09,23.39,24.08,35.98,13
"853","5959902",SE,irregular,4.23,0.1415,3703.77,0.29367,4.62,0.1245,23.02,10.72,20.1373,6.46,1.05,11.257,0.09,0.73,4.8647,0.0808,1.78,16.1217,0.0831,17.48,14.86,26.56,44.24,12
"854","5959903",SE,irregular,4.27,0.1337,6223.68,0.11088,5.39,0.1245,23.02,10.72,20.1373,7.93,1.83,26.172,0.1134,1.63,11.4413,0.129,3.46,37.6133,0.1164,13.44,20,29.62,40.57,13
"855","5959904",SE,regular,4.21,0.1338,7418.35,0.12121,5.93,0.1245,23.02,10.72,20.1373,7.39,1.83,24.264,0.1458,1.53,10.3666,0.1592,3.36,34.6306,0.1463,10.36,20.88,31.6,22.02,12
"856","5959905",SW,irregular,4.81,0.1265,6758.41,0.18544,7.75,0.1245,23.02,10.72,20.1373,7.67,1.57,20.256,0.1365,1.42,9.509,0.1468,2.99,29.765,0.138,16.45,21.4,45.77,36.64,16
"857","5959906",SW,regular,4.59,0.1329,6039,0.21082,5.96,0.1245,23.02,10.72,20.1373,6.87,1.31,16.212,0.1272,1.53,8.5564,0.1571,2.84,24.7684,0.1408,10.26,20.18,28.59,38.72,11
"858","5959907",SW,irregular,4.11,0.1388,4271.83,0.17323,6.79,0.1245,23.02,10.72,20.1373,7.6,1.58,13.312,0.1321,1.53,6.5902,0.1443,3.1,19.9022,0.1353,10.35,34.05,33.86,41.01,15
"859","5959908",SW,irregular,4.16,0.1304,6835.63,0.10388,6.23,0.1245,23.02,10.72,20.1373,7.93,1.83,20.385,0.1599,1.52,8.5903,0.1759,3.36,28.9753,0.1611,9.02,25.66,32.11,28.44,13
"860","5959909",SW,irregular,4.42,0.1305,6520.83,0.1053,8.17,0.1245,23.02,10.72,20.1373,7.93,1.83,22.401,0.1388,1.63,9.5191,0.1624,3.46,31.9201,0.1437,15.87,24.82,48.47,38.72,16
"861","5959910",SE,mixed,4.33,0.136,9753.66,0.10067,5.23,0.1245,23.02,10.72,20.1373,7.7,1.83,29.086,0.1599,1.63,11.9294,0.1938,3.46,41.0154,0.1673,10.61,24.05,27.29,30.49,12
"862","5959911",SW,irregular,4.33,0.1346,9023.08,0.06022,5.21,0.1245,23.02,10.72,20.1373,8.27,2.1,17.145,0.288,1.53,6.2918,0.3191,3.62,23.4368,0.2833,11.48,21.93,28.48,45.39,14
"863","5959912",SE,irregular,4.18,0.1308,8354.2,0.11406,5.72,0.1245,23.02,10.72,20.1373,8.01,1.84,29.794,0.1344,1.53,13.2074,0.1408,3.36,43.0014,0.1327,11.25,23.97,31.47,41.94,14
"864","5959913",SW,regular,4.03,0.1378,4286.14,0.15793,4.73,0.1245,23.02,10.72,20.1373,6.94,1.58,19.98,0.0883,1.43,8.0648,0.1105,3,28.0448,0.0932,15.53,23.65,32.38,60.26,15
"865","5959914",SW,irregular,4.07,0.1362,5896.26,0.15255,6.38,0.1245,23.02,10.72,20.1373,7.6,1.58,21.556,0.1126,1.29,6.458,0.1713,2.86,28.014,0.1224,10.57,47.8,32.69,81.21,19
"866","5959915",SW,irregular,3.92,0.1456,3894.74,0.18031,4.58,0.1245,23.02,10.72,20.1373,7.28,1.57,17.358,0.0918,0.87,4.7223,0.1044,2.44,22.0803,0.0875,14.37,19.74,31.66,39.72,13
"867","5960601",SW,irregular,4.65,0.1347,3343.64,0.17084,5.45,0.0609,21.66,9.83,49.5195,7.51,1.57,31.203,0.0438,1.28,9.9903,0.0623,2.85,41.1933,0.047,19.56,17.68,37.26,38.5,14
"868","5960602",SW,irregular,4.27,0.1305,3594.15,0.20485,7.12,0.0609,21.66,9.83,49.5195,7.25,1.31,31.236,0.0393,1.42,13.1227,0.0566,2.73,44.3587,0.045,16.18,22.26,39.78,43.87,15
"869","5960603",S,irregular,4.37,0.1398,3352.08,0.24984,4.83,0.0609,21.66,9.83,49.5195,7.39,1.31,26.07,0.0439,0.72,8.9869,0.0391,2.03,35.0569,0.0395,12.96,34.61,34.43,51.23,17
"870","5960604",SW,irregular,4.12,0.1124,5416.13,0.05243,9.48,0.0609,21.66,9.83,49.5195,8.64,2.09,33.36,0.0884,2.05,13.1634,0.1227,4.14,46.5234,0.098,19.66,25.21,60.5,55.6,20
"871","5964601",SW,irregular,4.5,0.1407,2830.64,0.33104,4.82,0.1245,23.02,10.72,20.1373,6.19,0.78,24.049,0.0239,0.73,14.4448,0.0208,1.51,38.4938,0.0226,13.72,6.94,26.8,26.59,9
"872","5964602",SW,irregular,4.53,0.1429,2657.08,0.37722,4.51,0.1245,23.02,10.72,20.1373,5.93,0.52,11.604,0.031,0.73,10.5599,0.0267,1.25,22.1639,0.0305,14.47,9.84,32.87,28.4,10
"873","5964603",SE,irregular,4.54,0.1415,3387.5,0.32111,4.97,0.1245,23.02,10.72,20.1373,6.19,0.78,14.028,0.0491,0.86,9.5293,0.0445,1.65,23.5573,0.0482,22.09,10.62,39,29.24,11
"874","5964802",S,irregular,4.08,0.1403,6662.65,0.18688,4.93,0.1245,23.02,10.72,20.1373,7.81,1.57,14.797,0.1842,0.73,4.1019,0.1725,2.3,18.8989,0.1648,16.86,25.99,37.54,33.12,15
"875","5965001",SW,mixed,4.02,0.1439,5908.93,0.20927,5.04,0.1245,23.02,10.72,20.1373,6.61,1.31,18.275,0.1104,1,7.475,0.115,2.31,25.75,0.1078,13.94,28.2,32.36,27.14,13
"876","5965002",SE,irregular,4.16,0.157,2058.53,0.30507,4.55,0.1245,23.02,10.72,20.1373,6.19,0.78,25.414,0.0165,0.86,13.1363,0.0196,1.65,38.5503,0.0179,16.5,17.39,26.31,39.38,11
"877","5965003",SW,irregular,4.17,0.1417,4462.17,0.2565,4.66,0.1245,23.02,10.72,20.1373,6.54,1.05,30.196,0.0404,0.87,14.5973,0.0387,1.92,44.7933,0.0389,15.92,15.23,30.15,36.51,13
"878","5965004",SE,irregular,4.06,0.1445,3044.48,0.32388,4.76,0.1245,23.02,10.72,20.1373,6.19,0.78,24.111,0.0257,0.86,15.0889,0.0252,1.65,39.1999,0.0261,14.09,14.42,25.54,29.03,10
"879","5965006",SW,irregular,4.05,0.1542,3909.22,0.39526,4.4,0.1245,23.02,10.72,20.1373,5.93,0.52,8.165,0.0649,0.73,9.1327,0.0454,1.25,17.2977,0.0574,15.42,20.47,31.95,41.55,12
"880","6005701",SE,irregular,5.11,0.1213,6205.43,0.05392,7.72,0.1501,23.27,11.95,16.2471,7.6,2.1,24.659,0.0594,1.53,8.892,0.0365,3.63,33.551,0.047,19.16,13.95,57.08,62.48,18
"881","6005704",E,irregular,5.19,0.1672,2063.46,0.44128,6.86,0.1501,23.27,11.95,16.2471,4.69,0.26,3.681,0.0164,0.45,15.8991,0.002,0.71,19.5801,0.0052,15.02,30.39,38.93,46.25,12
"882","6005705",SE,irregular,5.26,0.1542,1789.32,0.32897,5.7,0.1501,23.27,11.95,16.2471,5.65,0.78,16.968,0.0092,0.86,10.2107,0.0052,1.65,27.1787,0.0076,15.41,12.8,40.53,64.73,15
"883","6014101",E,mixed,4.85,0.1422,3756.1,0.22783,7.07,0.2389,23.76,10.91,21.968,6.37,1.31,6.176,0.0896,1.01,3.0781,0.0422,2.32,9.2541,0.0659,21.58,8.11,50.64,60.82,16
"884","6014102",S,regular,4.95,0.1338,5485,0.12463,7.33,0.2389,23.76,10.91,21.968,8.05,1.83,8.812,0.1281,1.28,2.495,0.0963,3.11,11.307,0.1055,21.74,9.2,49.33,57.63,17
"885","6014103",E,irregular,4.4,0.15,4374.55,0.33365,6.15,0.2389,23.76,10.91,21.968,6.23,0.78,4.357,0.0881,0.73,2.0577,0.0531,1.51,6.4147,0.072,20.18,8.76,45.7,39,13
"886","6014104",SW,regular,4.61,0.1432,3444.44,0.30624,5.28,0.2389,23.76,10.91,21.968,5.83,0.79,7.035,0.0435,0.73,3.6137,0.0238,1.51,10.6487,0.0342,16.79,5.05,35.31,43.48,11
"887","6015701",E,irregular,4.38,0.1497,3477.97,0.1972,5.23,0.2389,23.76,10.91,21.968,6.94,1.58,10.108,0.0611,0.73,2.7527,0.0316,2.3,12.8607,0.0435,11.77,21.31,40.12,35.62,14
"888","6015703",E,irregular,4.37,0.1513,2436.84,0.31082,4.54,0.2389,23.76,10.91,21.968,6.03,0.78,5.393,0.0396,0.52,1.9221,0.0226,1.3,7.3151,0.0303,15.06,8.84,32.32,57.32,12
"889","6015902",S,irregular,5.31,0.1483,8855,0.15929,11.4,0.2389,23.76,10.91,21.968,7.58,1.57,3.938,0.397,0.87,1.2102,0.2179,2.44,5.1482,0.2935,16.84,23.09,44,21.15,15
"890","6015903",SW,irregular,5.23,0.141,3605.8,0.3887,6.08,0.2389,23.76,10.91,21.968,5.49,0.52,2.902,0.0727,0.720000000000001,2.6578,0.0334,1.25,5.5598,0.0567,19.06,19.99,49.27,36.9,14
"891","6015904",SE,mixed,4.88,0.1423,7462.96,0.07661,5.12,0.2389,23.76,10.91,21.968,7.54,2.1,6.823,0.2583,1.01,1.8137,0.1422,3.11,8.6367,0.188,19.23,14.28,43.62,50.63,16
"892","6015905",SW,irregular,5.2,0.1475,3854.63,0.12548,5.68,0.2389,23.76,10.91,21.968,6.8,1.83,23.73,0.0334,0.859999999999999,6.519,0.0174,2.7,30.249,0.0241,13.34,24.01,37.22,41.44,14
"893","6015906",SW,regular,5.19,0.1471,4867.86,0.20831,5.7,0.2389,23.76,10.91,21.968,5.82,1.31,4.587,0.1563,0.73,1.1424,0.1065,2.04,5.7294,0.1212,21.59,26.66,28.19,36.11,13
"894","6015907",SW,irregular,5.05,0.137,14330.77,0.30589,12.28,0.2389,23.76,10.91,21.968,6.74,0.79,1.273,1,0.94,0.461,1,1.73,1.734,1,12.39,40.74,26.97,27.27,13
"895","6015908",SE,mixed,5.02,0.1466,10863.16,0.08826,6.5,0.2389,23.76,10.91,21.968,7.06,2.09,4.652,0.5488,1.01,1.3119,0.2862,3.1,5.9639,0.3949,18.47,20.85,50.83,32.26,15
"896","6015909",S,irregular,5.17,0.1326,10876.19,0.08059,6.17,0.2389,23.76,10.91,21.968,8.46,2.1,5.251,0.4891,1.15,1.1865,0.3608,3.24,6.4375,0.3829,16.61,28.04,42.29,45,17
"897","6015910",SE,irregular,4.93,0.1544,5040.48,0.08217,5.39,0.2389,23.76,10.91,21.968,7.77,2.1,10.456,0.1138,0.869999999999999,1.9018,0.0789,2.97,12.3578,0.0847,17.14,23.62,36.78,60,16
"898","6015912",SW,irregular,4.81,0.1525,2445.56,0.19091,5.28,0.2389,23.76,10.91,21.968,7.16,1.57,15.8,0.0273,0.87,4.285,0.017,2.44,20.085,0.0208,21.86,17.68,41.8,53.85,16
"899","6015913",SW,irregular,4.77,0.1355,4229.51,0.07635,7.51,0.2389,23.76,10.91,21.968,8.18,2.09,15.426,0.0644,1.52,5.3833,0.0409,3.62,20.8093,0.0515,22.03,9.37,44.25,52.46,16
"900","6015914",SW,mixed,4.69,0.138,4945.16,0.1607,6.49,0.2389,23.76,10.91,21.968,7.35,1.57,6.075,0.1437,1.42,2.2306,0.1077,2.99,8.3056,0.1245,26.76,7.49,55.16,42.86,16
"901","6015915",SW,regular,4.52,0.138,5678.95,0.04935,5.7,0.2389,23.76,10.91,21.968,7.9,2.36,10.302,0.1463,1.42,2.8849,0.0957,3.78,13.1869,0.1139,18.01,9.99,36.25,56.82,14
"902","6015916",SW,regular,4.99,0.1266,4321.57,0.1455,8.04,0.2389,23.76,10.91,21.968,7.38,1.84,10.517,0.085,1.53,4.0748,0.0555,3.36,14.5918,0.0696,11.21,16,58.36,57.77,16
"903","6017501",SW,irregular,4.79,0.1394,4014.12,0.25573,5.83,0.2389,23.76,10.91,21.968,7.13,1.04,34.533,0.0136,1.28,15.5601,0.0113,2.33,50.0931,0.0131,11.56,21.7,38.16,47.52,14
"904","6017502",E,irregular,4.48,0.1456,9670.59,0.19307,7.24,0.2389,23.76,10.91,21.968,7.17,1.57,17.758,0.0961,0.73,4.1087,0.0588,2.3,21.8667,0.0711,10.37,44.79,27.3,46.45,15
"905","6017503",S,irregular,4.63,0.1365,8635.94,0.25169,6.41,0.2389,23.76,10.91,21.968,7.96,1.05,8.61,0.1184,1.14,2.7934,0.1206,2.19,11.4034,0.116,15.69,28.99,28.32,70.71,16
"906","6017504",SE,irregular,4.4,0.1435,9457.69,0.37113,6.66,0.2389,23.76,10.91,21.968,6.34,0.52,2.803,0.1973,0.73,2.2544,0.1048,1.25,5.0574,0.1635,11.01,30.35,29.06,26.92,10
"907","6017602",E,irregular,4.57,0.1745,1599.15,0.32106,5.12,0.2389,23.76,10.91,21.968,5.81,0.78,10.262,0.0137,0.73,5.4579,0.0073,1.51,15.7199,0.0107,19.84,9.14,36.98,58.47,13
"908","6017603",E,irregular,4.52,0.1426,3700,0.1504,6.25,0.2389,23.76,10.91,21.968,6.94,1.58,12.174,0.054,0.87,3.7256,0.0296,2.44,15.8996,0.0397,22.15,10.06,49.62,62.44,17
"909","6017605",S,irregular,4.79,0.1508,2327.69,0.44476,4.55,0.2389,23.76,10.91,21.968,6.41,0.27,0.274,0.2579,0.52,1.6577,0.025,0.79,1.9317,0.0666,12.82,3.78,10.96,29.03,9
"910","6017606",SW,irregular,4.69,0.1515,5371.43,0.08635,5.21,0.2389,23.76,10.91,21.968,7.77,2.1,17.23,0.0736,0.73,3.2612,0.0412,2.83,20.4912,0.0519,17.2,16.55,30.71,38.89,14
"911","6028201",E,irregular,4.73,0.1668,2070,0.43639,4.6,0.2389,23.76,10.91,21.968,5.23,0.26,1.381,0.0438,0.590000000000001,5.3596,0.0078,0.85,6.7406,0.0183,20.94,10.16,33.29,65.61,13
"912","6038202",SW,mixed,4.81,0.1458,4268.06,0.21344,5.45,0.2389,23.76,10.91,21.968,6.67,1.31,11.545,0.0545,0.86,4.1867,0.03,2.17,15.7317,0.0412,14.74,12.36,46.55,56.72,15
"913","6038203",SE,irregular,4.85,0.1658,4181.82,0.26422,5.22,0.2389,23.76,10.91,21.968,6.44,1.05,6.934,0.0712,0.590000000000001,2.4374,0.0346,1.64,9.3714,0.0512,10.3,13.62,32.34,32.99,12
"914","6041401",SW,irregular,4.15,0.1504,8322.64,0.29078,6.47,0.2389,23.76,10.91,21.968,6.87,1.05,5.732,0.1714,0.73,2.1018,0.0989,1.78,7.8338,0.1323,13.63,35.19,29.93,63.37,16
"915","6041402",E,irregular,4.47,0.1576,2871.67,0.40596,4.85,0.2389,23.76,10.91,21.968,5.51,0.26,3.648,0.023,0.73,4.5596,0.0157,0.99,8.2076,0.0242,14.82,18.34,30.58,55.9,13
"916","6041403",SW,irregular,4.76,0.147,2619.75,0.22117,4.35,0.2389,23.76,10.91,21.968,6.78,1.31,12.566,0.0307,0.73,3.5697,0.0183,2.04,16.1357,0.0232,14.5,16.58,25.27,60.95,13
"917","6046302",SE,irregular,4.75,0.1508,2954.82,0.25754,4.75,0.2389,23.76,10.91,21.968,6.52,1.05,21.677,0.0161,0.73,7.1393,0.0103,1.78,28.8163,0.0128,14.64,16.51,30.71,61.67,14
"918","6046303",SW,regular,4.99,0.1417,10780,0.14333,6.43,0.2389,23.76,10.91,21.968,7.18,1.84,6.23,0.358,0.87,1.6984,0.189,2.7,7.9284,0.2568,14.93,22.88,32.75,44.12,14
"919","6046304",SE,irregular,4.34,0.1493,6065.28,0.16331,5.27,0.2389,23.76,10.91,21.968,7.32,1.58,13.982,0.0771,0.87,3.8477,0.0469,2.44,17.8297,0.0581,15.18,26.42,31.09,54.02,16
"920","6046305",SW,irregular,5.17,0.144,3582.28,0.15933,5.04,0.2389,23.76,10.91,21.968,6.54,1.57,15.553,0.0407,0.87,4.9528,0.0215,2.44,20.5058,0.0298,15.43,18.78,27.37,68.62,14
"921","6047101",SE,irregular,4.94,0.1347,4130.95,0.01611,6.37,0.1162,23.23,10.79,22.3341,8.38,2.36,12.329,0.0889,1.52,3.8544,0.0558,3.88,16.1834,0.0693,21.44,23.21,53.34,56.82,20
"922","6047102",S,irregular,4.82,0.1558,1786.7,0.36663,4.93,0.1162,23.23,10.79,22.3341,6.55,0.53,11.561,0.0092,0.73,6.8376,0.0065,1.25,18.3986,0.0085,20.56,22.55,37.06,46.89,16
"923","6047103",E,mixed,5,0.1466,7942.86,0.17778,6.68,0.1162,23.23,10.79,22.3341,6.11,1.57,2.582,0.5431,0.87,0.6441,0.3672,2.44,3.2261,0.4202,14.7,41.44,36.98,54.76,16
"924","6047105",E,irregular,5.09,0.1674,1423.65,0.41761,4.74,0.1162,23.23,10.79,22.3341,4.49,0.26,3.336,0.0125,0.45,4.8036,0.0046,0.71,8.1396,0.0087,19.18,22.44,33.72,36.55,12
"925","6050902",E,mixed,4.93,0.1559,1920.72,0.17562,5.94,0.2389,23.76,10.91,21.968,6.57,1.57,20.633,0.0164,1.11,7.9496,0.0092,2.68,28.5826,0.0126,12.76,17.21,38.51,62.67,15
"926","6061201",SE,irregular,4.35,0.1412,3566.67,0.09741,7.16,0.2389,23.76,10.91,21.968,7.68,2.09,17.9,0.0468,1,5.5054,0.0222,3.1,23.4054,0.033,16.14,6.52,45.23,62.85,16
"927","6061203",E,irregular,4.28,0.1497,5500,0.38043,7.26,0.2389,23.76,10.91,21.968,5.97,0.52,1.858,0.1731,0.52,1.0441,0.0937,1.04,2.9021,0.1379,17.24,16.34,35.95,29.41,11
"928","6061207",E,irregular,4.66,0.1522,3757.33,0.2275,5.23,0.2389,23.76,10.91,21.968,6.67,1.31,11.315,0.0489,0.72,3.1052,0.0298,2.03,14.4202,0.037,19.3,10.56,32.78,53.85,13
"929","6063600",SW,irregular,5.02,0.1551,1032.35,0.41104,4.48,0.2389,23.76,10.91,21.968,5.05,0.26,11.841,0.0025,0.73,15.272,0.0017,0.99,27.113,0.0026,21.96,13.63,32.81,50.63,13
"930","6068401",SW,irregular,4.59,0.159,1131.92,0.42661,4.76,0.2389,23.76,10.91,21.968,5.67,0.26,5.828,0.0057,0.52,9.5462,0.0021,0.78,15.3742,0.004,16.68,12.56,25.4,58.62,12
"931","6100101",SE,irregular,3.95,0.1389,3278.72,0.15119,6.94,0.1872,23.15,10.45,15.7437,7.83,1.57,38.046,0.0989,1.42,14.3939,1,2.99,52.4399,0.9647,24.97,19.63,58.36,58.68,18
"932","6100102",SW,irregular,4.03,0.1596,2582.63,0.26726,4.5,0.1872,23.15,10.45,15.7437,6.2,1.05,29.27,0.0677,0.46,9.292,0.3953,1.5,38.562,0.5184,24.24,20.94,46.98,53.03,15
"933","6100103",E,irregular,4.12,0.1597,2147.98,0.44818,5.94,0.1872,23.15,10.45,15.7437,5.31,0.27,0.424,1,0.449999999999999,7.5563,0.3955,0.72,7.9803,1,15.85,41.01,39.08,31.37,14
"934","6100104",E,irregular,4.15,0.1572,1370.6,0.24608,5.23,0.1872,23.15,10.45,15.7437,6.57,1.31,59.755,0.022,0.87,21.5096,0.1714,2.18,81.2646,0.1897,23.97,15.34,46.24,40.76,15
"935","6204101",E,irregular,4.43,0.1463,2850.98,0.19265,5.13,0.0609,21.66,9.83,49.5195,6.88,1.58,26.681,0.0277,0.87,8.1292,0.024,2.44,34.8102,0.0278,17.24,29.69,40.66,58.8,16
"936","6204102",E,irregular,4.85,0.1536,2345.41,0.3171,6.1,0.0609,21.66,9.83,49.5195,6.09,0.79,16.721,0.0182,0.73,7.7529,0.0174,1.51,24.4739,0.0201,11.12,38.63,34.69,42.55,13
"937","6204103",E,irregular,4.12,0.1438,6726.32,0.04356,5.08,0.0609,21.66,9.83,49.5195,7.82,2.36,10.451,0.2493,0.87,2.4001,0.1917,3.23,12.8511,0.2352,19.7,22.29,42.51,51.75,18
"938","6204104",SW,irregular,4.76,0.1539,1640.78,0.4031,5.53,0.0609,21.66,9.83,49.5195,5.73,0.26,5.788,0.0121,0.73,6.58,0.0143,0.99,12.368,0.0183,13.75,16.16,33.12,35.45,12
"939","6204105",SW,mixed,5.11,0.1304,3201.79,0.04215,7.8,0.0609,21.66,9.83,49.5195,7.38,2.36,15.455,0.0802,1.42,4.329,0.0826,3.78,19.784,0.0851,22.32,8.59,48.16,43.13,15
"940","6204106",SW,irregular,4.81,0.1348,3558.46,0.23334,7.51,0.0609,21.66,9.83,49.5195,7.25,1.31,9.55,0.0801,1.42,4.4884,0.0885,2.73,14.0384,0.0963,19.97,14.34,54.91,40.86,16
"941","6204107",S,irregular,4.76,0.1371,4804.48,0.10543,7.7,0.0609,21.66,9.83,49.5195,8.54,1.84,15.628,0.0928,1.43,5.0375,0.1073,3.26,20.6655,0.1054,16.76,19.67,57.12,44.41,17
"942","6204108",SE,irregular,4.44,0.117,6145.61,0.04262,9.92,0.0609,21.66,9.83,49.5195,8.98,2.36,15.712,0.1515,2.05,5.7867,0.1712,4.41,21.4987,0.1753,17.35,20.17,61.55,53.54,19
"943","6204109",S,irregular,5.06,0.147,7452.94,0.05361,8.61,0.0609,21.66,9.83,49.5195,7.84,2.1,9.12,0.2817,1.01,2.39,0.2477,3.1,11.51,0.2792,12.79,28.98,48.85,29.37,15
"944","6204110",SW,irregular,4.58,0.1363,5527.27,0.05122,6.56,0.0609,21.66,9.83,49.5195,8.12,2.09,11.873,0.1597,1.53,3.6002,0.1847,3.62,15.4732,0.1799,19.66,16.89,43.14,61.4,16
"945","6204111",S,irregular,4.66,0.1448,4210.13,0.04867,5.13,0.0609,21.66,9.83,49.5195,8.64,2.35,21.454,0.0757,0.86,4.6613,0.0611,3.22,26.1153,0.0722,16.7,21.14,40.87,76.82,18
"946","6204112",SE,irregular,4.52,0.1537,1863.33,0.31298,5.63,0.0609,21.66,9.83,49.5195,6.25,0.78,11.18,0.0213,0.73,5.1596,0.0207,1.51,16.3396,0.024,19.41,22.65,49.55,54.21,16
"947","6204113",S,irregular,4.86,0.1507,2138.46,0.08365,6.02,0.0609,21.66,9.83,49.5195,8.3,2.1,29.011,0.0254,1.01,7.2207,0.0235,3.1,36.2317,0.0254,12.75,20.65,51.64,32.97,17
"948","6211901",SE,irregular,4.28,0.1484,2447.47,0.22435,5.61,0.1245,23.02,10.72,20.1373,6.84,1.31,145.339,0.0036,0.87,53.9722,0.0031,2.18,199.3112,0.0037,18.22,25.19,44.74,49.62,16
"949","6213301",E,irregular,4.28,0.1475,2877.66,0.26002,4.62,0.1245,23.02,10.72,20.1373,6.23,1.04,35.193,0.014,0.73,13.0515,0.0127,1.77,48.2445,0.0147,14.16,26.38,31.27,54.12,14
"950","6216001",SE,irregular,4.19,0.1519,1793.55,0.16546,7.7,0.0568,19.17,4.87,6.1785,6.85,1.57,35.85,0.0129,1.01,12.1125,0.0118,2.58,47.9625,0.0134,18.28,28.43,43.63,52.54,16
"951","6216004",SW,irregular,3.77,0.1445,8322.92,0.1607,6.27,0.0568,19.17,4.87,6.1785,7.44,1.57,9.406,0.228,1.01,3.7493,0.1763,2.58,13.1553,0.227,14.82,29.03,40.5,65.52,18
"952","6216005",SW,irregular,4.03,0.1391,7334.55,0.42228,7.29,0.0568,19.17,4.87,6.1785,6.17,0.26,1.066,0.2936,1.28,3.4815,0.2121,1.54,4.5475,0.3455,13.92,28.39,39.43,56.73,14
"953","6216006",E,irregular,3.62,0.1379,6900,0.31727,7.47,0.0568,19.17,4.87,6.1785,6.77,0.78,2.076,0.4255,1.42,1.6747,0.4601,2.21,3.7507,0.5655,18.21,23.09,40.58,31.48,15
"954","6216007",SW,regular,3.64,0.1265,8975,0.29349,9.56,0.0568,19.17,4.87,6.1785,6.79,1.05,2.552,0.6061,1.63,2.4815,0.4636,2.68,5.0335,0.6647,10.33,31.02,51.31,51.24,17
"955","6216008",E,irregular,3.87,0.1503,3558.9,0.31077,7.71,0.0568,19.17,4.87,6.1785,6.2,0.79,6.91,0.0668,1.01,4.6375,0.061,1.79,11.5475,0.0767,20.88,19.73,48.11,70.5,16
"956","6216009",SW,irregular,4.15,0.126,8963.27,0.09626,9.56,0.0568,19.17,4.87,6.1785,8.08,2.09,11.733,0.2621,1.53,4.9969,0.2158,3.62,16.7299,0.2698,19.8,28.11,57.6,62.34,20
"957","6216010",SW,irregular,4.1,0.1342,6903.03,0.40717,10.5,0.0568,19.17,4.87,6.1785,6.3,0.26,0.976,0.3018,1.28,1.4882,0.4669,1.54,2.4642,0.6001,29.41,16.59,47.05,47.06,16
"958","6216011",E,irregular,4.1,0.1426,5498.94,0.2424,6.53,0.0568,19.17,4.87,6.1785,6.51,1.31,13.236,0.0893,1.11,7.6885,0.0624,2.42,20.9245,0.0885,17.91,20.18,40.18,59.33,15
"959","6218601",SE,irregular,4.43,0.1651,1567.77,0.43539,4.55,0.1245,23.02,10.72,20.1373,5.33,0.26,8.271,0.0081,0.45,21.6079,0.0026,0.71,29.8789,0.0052,17.63,20.7,32.4,47.7,12
"960","6219302",S,mixed,4.13,0.1497,5117.97,0.16038,4.6,0.0796,20.94,7.69,8.2838,7.24,1.57,25.11,0.0525,1.11,10.1632,0.044,2.68,35.2732,0.0541,19.43,20.52,34.22,38.21,13
"961","6219303",E,mixed,4.11,0.1506,7578.13,0.16932,5.36,0.0796,20.94,7.69,8.2838,6.54,1.57,6.084,0.321,0.87,1.8374,0.2822,2.44,7.9214,0.3247,7.15,55.47,22.23,45.45,15
"962","6219304",E,mixed,4.02,0.1484,11941.18,0.09234,8.28,0.0796,20.94,7.69,8.2838,7.21,2.1,4.116,1,0.87,0.817,1,2.97,4.933,1,13.58,55.39,43.4,70,20
"963","6219306",E,mixed,3.73,0.1497,6756,0.10925,5.64,0.0796,20.94,7.69,8.2838,7.1,1.83,5.767,0.3519,1.01,1.695,0.3166,2.84,7.462,0.3577,14.17,42.33,36.52,48.68,17
"964","6219307",E,mixed,3.65,0.1441,6852.17,0.06122,13.01,0.0796,20.94,7.69,8.2838,7.49,2.1,6.051,0.3903,0.87,1.3255,0.3537,2.96,7.3765,0.3825,9.87,47.82,41.75,21.05,16
"965","6219308",E,irregular,3.92,0.1509,6045.71,0.2129,4.76,0.0796,20.94,7.69,8.2838,6.76,1.31,5.625,0.2311,0.87,1.9764,0.2093,2.18,7.6014,0.2412,11.21,29.51,21.52,8.39,10
"966","6219310",S,mixed,4.2,0.149,6816.07,0.14876,5.1,0.0796,20.94,7.69,8.2838,7.7,1.83,11.425,0.1792,1.11,4.6104,0.1291,2.94,16.0354,0.1738,20.14,19.01,36.05,41.71,15
"967","6219311",S,irregular,4.26,0.1406,7789.13,0.09162,5.05,0.0796,20.94,7.69,8.2838,8.27,2.1,11.159,0.2406,1.11,4.0104,0.1695,3.21,15.1694,0.2293,19.93,22.1,38.09,51.49,18
