fid,code_giris,can_orient,city_irreg,wdt_str,alb,pop_den,veg_den,bld_hgt,no_wind_d,max_temp,max_dtemp,no_cloud,iuhi,veg_dt,veg_cost,veg_eff,alb_dt,alb_cost,alb_eff,cmb_dt,cmb_cost,cmb_eff,age_perc,pov_perc,alone_perc,dpe_perc,hvi
"365","3155560",S,irregular,4.69,0.1434,2822.69,0.35038,7.08,0.0609,27.94,11.83,31.167,6.74,0.52,14.67,0.012,0.86,11.5497,0.0295,1.39,26.2197,0.0311,13.81,17.87,52.78,7.39,13
"366","3201301",S,irregular,4.97,0.1577,3665.82,0.09357,10.43,0.3611,26.93,11.9,25.8124,8.52,2.1,19.06,0.5363,1.22,6.8715,0.6492,3.31,25.9315,0.5873,20.23,25.53,63.75,44.93,20
"367","3201303",S,irregular,4.95,0.1671,4729.09,0.09747,6.4,0.3611,26.93,11.9,25.8124,8.19,2.09,13.125,1,0.59,2.7832,1,2.68,15.9082,1,18.78,34.91,42.31,14.17,15
"368","3300901",E,irregular,4.31,0.1586,1480.39,0.3792,5.43,0.0302,25.34,8.2,18.2609,5.61,0.53,37.318,0.0299,0.87,36.1001,0.0294,1.4,73.4181,0.0352,47.69,12.34,51.67,43.83,18
"369","3301301",E,irregular,4.85,0.1745,1177.66,0.40919,4.22,0.1323,26.1,11.79,38.0778,5.19,0.27,20.461,0.0221,0.46,21.9503,0.0203,0.72,42.4113,0.0249,16.64,9.37,24.01,8.43,7
"370","3303901",S,irregular,4.63,0.1651,2573.3,0.29335,4.53,0.1323,26.1,11.79,38.0778,6.93,1.05,115.991,0.0331,0.73,57.2673,0.027,1.78,173.2583,0.033,16.03,13.03,38.28,24.31,12
"371","3306302",S,irregular,4.75,0.1665,1886.06,0.32228,4.94,0.1323,26.1,11.79,38.0778,6.61,0.79,50.481,0.0419,0.83,33.9271,0.038,1.62,84.4081,0.0452,13.09,21.67,41.45,22.98,14
"372","3306303",SW,regular,4.93,0.1594,9078.86,0.16635,9.2,0.1323,26.1,11.79,38.0778,6.86,1.57,77.24,0.2622,1.21,30.5202,0.2962,2.78,107.7602,0.2923,13.43,18.26,48.64,32.69,14
"373","3306304",SW,regular,4.79,0.1707,2543.98,0.34352,5.86,0.1323,26.1,11.79,38.0778,5.57,0.79,45.198,0.0632,0.84,33.4051,0.0527,1.62,78.6031,0.0654,13.28,17.72,42.22,34.27,13
"374","3306305",S,irregular,5.23,0.1509,9347.22,0.15308,14.54,0.1323,26.1,11.79,38.0778,7.6,1.58,36.197,0.5798,1.22,14.4177,0.651,2.79,50.6147,0.6429,13.45,21.52,60.8,44.49,18
"375","3306306",SE,irregular,5.01,0.1623,9850,0.10845,8.18,0.1323,26.1,11.79,38.0778,6.77,1.83,53.181,0.4816,0.93,19.3433,0.3898,2.77,72.5243,0.4694,19.14,12.3,47.3,37.11,14
"376","3306307",E,irregular,5.11,0.1583,6240,0.18187,6.13,0.1323,26.1,11.79,38.0778,6.49,1.57,52.682,0.2642,1.11,24.9945,0.2281,2.68,77.6765,0.2686,23.25,8.43,43.04,29.69,13
"377","3306308",SE,irregular,4.51,0.1642,5025.47,0.17667,5.28,0.1323,26.1,11.79,38.0778,6.98,1.57,88.698,0.1264,0.73,29.7812,0.1014,2.3,118.4792,0.1217,21.94,9.57,42.63,17.88,13
"378","3306309",SW,irregular,4.66,0.1601,4986.64,0.0747,5.74,0.1323,26.1,11.79,38.0778,7.5,2.09,62.739,0.236,0.93,21.1536,0.1804,3.03,83.8926,0.2247,16.96,14.69,46.19,38.58,15
"379","3306310",E,irregular,5.39,0.1647,7723.9,0.06308,7.34,0.1323,26.1,11.79,38.0778,6.74,2.1,53.678,0.4294,0.94,16.9873,0.3518,3.03,70.6653,0.4133,14.92,16.78,53.71,40.95,15
"380","3306311",SE,irregular,5.07,0.156,10776.47,0.12211,10.3,0.1323,26.1,11.79,38.0778,7.25,1.84,30.192,0.9332,1.22,10.8209,1,3.05,41.0129,1,8.74,32.83,64.2,45.25,17
"381","3306312",S,irregular,4.97,0.1601,9008.89,0.07328,6.4,0.1323,26.1,11.79,38.0778,8.33,2.1,57.366,0.4686,0.94,19.2857,0.3614,3.03,76.6517,0.4444,15.6,18.08,50.48,43.6,17
"382","3306313",SE,irregular,5,0.1634,3901.93,0.18078,6.48,0.1323,26.1,11.79,38.0778,6.28,1.57,56.726,0.1535,0.83,21.7401,0.1226,2.41,78.4661,0.1495,13.16,22.46,46.9,36.17,14
"383","3306901",SE,irregular,4.32,0.1663,4717.8,0.19184,5.08,0.1323,26.1,11.79,38.0778,6.98,1.57,92.365,0.1139,0.73,34.6051,0.0819,2.3,126.9701,0.1066,21.07,10.32,40.17,28.72,13
"384","3309601",E,irregular,4.77,0.1722,1976.96,0.25601,4.13,0.1323,26.1,11.79,38.0778,5.97,1.05,51.989,0.0567,0.59,17.8856,0.0537,1.64,69.8746,0.0579,19.45,11.03,30.04,22.93,10
"385","3311901",S,irregular,4.63,0.1626,4254.66,0.26651,4.87,0.1323,26.1,11.79,38.0778,7.01,1.05,70.858,0.0896,0.59,29.1032,0.071,1.63,99.9612,0.0866,17.09,22.26,40.22,25.69,14
"386","3316201",E,irregular,4.71,0.1691,1893.51,0.34154,4.5,0.1323,26.1,11.79,38.0778,5.71,0.79,88.81,0.0239,0.59,44.4904,0.0207,1.38,133.3004,0.0245,16.5,10.44,34.84,17.22,10
"387","3316701",E,irregular,4.42,0.169,2062.97,0.42966,4.56,0.1323,26.1,11.79,38.0778,5.25,0.27,12.33,0.0642,0.59,31.8863,0.0314,0.86,44.2163,0.0501,15.41,17.71,32.44,20.1,10
"388","3324901",S,irregular,4.76,0.159,2940.54,0.38185,5.42,0.1323,26.1,11.79,38.0778,6.8,0.52,36.501,0.0595,0.73,29.6998,0.0595,1.25,66.2008,0.0693,15.53,22.6,36.42,24.71,13
"389","3328101",S,irregular,3.92,0.1573,3816.1,0.32649,5.81,0.1323,26.1,11.79,38.0778,7.36,0.78,19.834,0.2132,0.86,10.7497,0.2513,1.65,30.5837,0.2569,24.07,12.81,48.15,19.74,15
"390","3328102",S,mixed,4.34,0.1568,5705.03,0.197,5.36,0.1323,26.1,11.79,38.0778,7.63,1.57,27.261,0.4669,1.01,9.4445,0.5021,2.58,36.7055,0.5004,17.5,9.55,43.92,12.81,12
"391","3328103",E,mixed,4.16,0.1672,3387.35,0.27021,4.82,0.1323,26.1,11.79,38.0778,5.73,1.05,29.898,0.169,0.73,12.9973,0.1566,1.78,42.8953,0.1754,16.05,11.03,43.5,21.74,11
